timestamp,ladle_id,operator,shift,radar_distance_m,calculated_tons,flow_rate_tps,state
2026-02-05T16:50:22,04,Shyam,A,2.923,14.045,0,POURING
2026-02-05T16:50:24,04,Shyam,A,2.892,15.054,1.01,POURING
2026-02-05T16:50:24,04,Shyam,A,2.889,15.153,0.098,POURING
2026-02-05T16:50:25,04,Shyam,A,2.882,15.383,0.23,POURING
2026-02-05T16:50:26,04,Shyam,A,2.873,15.679,0.297,POURING
2026-02-05T16:50:27,04,Shyam,A,2.864,15.977,0.298,POURING
2026-02-05T16:50:28,04,Shyam,A,2.858,16.176,0.199,POURING
2026-02-05T16:50:29,04,Shyam,A,2.852,16.375,0.199,POURING
2026-02-05T16:50:30,04,Shyam,A,2.848,16.508,0.133,POURING
2026-02-05T16:50:31,04,Shyam,A,2.844,16.642,0.133,POURING
2026-02-05T16:50:32,04,Shyam,A,2.841,16.742,0.1,POURING
2026-02-05T16:50:33,04,Shyam,A,2.838,16.842,0.1,POURING
2026-02-05T16:50:34,04,Shyam,A,2.835,16.943,0.1,POURING
2026-02-05T16:50:35,04,Shyam,A,2.834,16.976,0.034,POURING
2026-02-05T16:50:36,04,Shyam,A,2.832,17.043,0.067,POURING
2026-02-05T16:50:37,04,Shyam,A,2.831,17.077,0.034,POURING
2026-02-05T16:50:38,04,Shyam,A,2.83,17.11,0.034,POURING
2026-02-05T16:50:39,04,Shyam,A,2.829,17.144,0.034,POURING
2026-02-05T16:50:40,04,Shyam,A,2.828,17.178,0.034,POURING
2026-02-05T16:50:41,04,Shyam,A,2.827,17.211,0.034,POURING
2026-02-05T16:50:42,04,Shyam,A,2.826,17.245,0.034,POURING
2026-02-05T16:50:43,04,Shyam,A,2.826,17.245,0.0,POURING
2026-02-05T16:50:44,04,Shyam,A,2.825,17.278,0.034,POURING
2026-02-05T16:50:45,04,Shyam,A,2.825,17.278,0.0,POURING
2026-02-05T16:50:46,04,Shyam,A,2.825,17.278,0.0,POURING
2026-02-05T16:50:47,04,Shyam,A,2.824,17.312,0.034,POURING
2026-02-05T16:50:48,04,Shyam,A,2.824,17.312,0.0,POURING
2026-02-05T16:50:49,04,Shyam,A,2.824,17.312,0.0,POURING
2026-02-05T16:50:50,04,Shyam,A,2.824,17.312,0.0,POURING
2026-02-05T16:50:51,04,Shyam,A,2.824,17.312,0.0,POURING
2026-02-05T16:50:52,04,Shyam,A,2.824,17.312,0.0,POURING
2026-02-05T16:50:53,04,Shyam,A,2.824,17.312,0.0,POURING
2026-02-05T16:50:54,04,Shyam,A,2.823,17.346,0.034,POURING
2026-02-05T16:50:55,04,Shyam,A,2.823,17.346,0.0,POURING
2026-02-05T16:50:56,04,Shyam,A,2.823,17.346,0.0,POURING
2026-02-05T16:50:57,04,Shyam,A,2.823,17.346,0.0,POURING
2026-02-05T16:50:58,04,Shyam,A,2.823,17.346,0.0,POURING
2026-02-05T16:50:59,04,Shyam,A,2.823,17.346,0.0,POURING
2026-02-05T16:51:00,04,Shyam,A,2.823,17.346,0.0,POURING
2026-02-05T16:51:01,04,Shyam,A,2.823,17.346,0.0,POURING
2026-02-05T16:51:02,04,Shyam,A,2.823,17.346,0.0,POURING
2026-02-05T16:51:03,04,Shyam,A,2.823,17.346,0.0,POURING
2026-02-05T16:51:19,,,A,2.823,17.346,0.0,POURING
2026-02-05T16:51:21,,,A,2.823,17.346,0.0,POURING
2026-02-05T16:51:22,,,A,2.823,17.346,0.0,POURING
2026-02-05T16:51:23,,,A,2.823,17.346,0.0,POURING
2026-02-05T16:51:24,,,A,2.823,17.346,0.0,POURING
2026-02-05T16:51:25,,,A,2.823,17.346,0.0,POURING
2026-02-05T16:51:26,,,A,2.823,17.346,0.0,POURING
2026-02-05T16:51:27,,,A,2.823,17.346,0.0,POURING
2026-02-05T16:51:28,,,A,2.823,17.346,0.0,POURING
2026-02-05T16:51:29,,,A,2.823,17.346,0.0,POURING
